File_Type,GValue
File_Version,1
GP,

MTP_Type,96Wells_Square
MTP_Wells_X,12
MTP_Wells_Y,8
Timestamp,20210204_100739
MTP,1
Plate-ID,

Time (min),A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
200,"30,557","28,122","29,049","32,280","27,404","33,327","35,492","30,892","29,941","37,124","38,475","38,924","31,898","26,259","29,924","29,939","26,596","32,780","32,314","28,425","29,124","32,665","33,769","30,184","34,163","26,045","26,802","28,322","25,461","30,624","27,945","25,604","26,080","30,420","30,367","33,965","29,365","23,839","25,851","29,698","26,304","28,376","27,406","25,367","25,200","36,673","33,427","28,788","32,327","23,735","25,733","26,661","25,884","26,871","24,694","25,216","27,637","30,549","28,561","29,265","29,633","25,065","26,149","26,043","27,088","26,014","25,604","25,857","25,982","30,241","31,837","29,141","34,100","26,433","29,102","27,176","28,151","26,659","27,604","27,510","28,024","32,190","29,051","29,641","27,833","28,484","30,578","29,733","32,702","30,341","33,367","34,504","30,225","38,684","31,961","31,616"
220,"31,235","28,606","29,537","33,316","27,469","34,261","37,116","31,267","30,271","39,471","39,876","40,725","32,922","26,678","30,447","30,727","26,824","33,922","33,276","28,720","29,490","33,996","35,106","30,806","35,651","26,349","27,237","29,098","25,645","31,390","28,818","25,739","26,343","31,320","31,059","35,027","30,165","23,959","25,916","30,714","26,692","29,080","27,931","25,686","25,388","38,316","34,594","29,247","32,849","23,729","25,969","27,261","26,261","27,398","24,837","25,347","28,259","31,625","29,073","29,661","29,894","25,176","26,382","26,355","27,555","26,422","25,892","25,971","26,227","31,133","32,945","29,276","35,406","26,635","29,845","27,320","28,686","26,898","27,725","27,716","28,161","33,190","29,182","29,878","28,004","28,876","31,224","30,229","33,053","30,641","34,290","35,222","30,643","40,167","32,314","31,914"
240,"32,047","29,086","29,990","34,155","27,465","35,390","38,688","31,671","30,551","41,373","40,788","41,931","33,986","26,967","30,743","31,469","26,743","34,843","34,333","28,896","29,565","35,049","36,257","31,186","36,725","26,584","27,433","30,063","25,702","32,051","29,471","25,708","26,600","32,196","31,602","36,176","30,794","24,082","25,961","31,853","26,918","29,698","28,375","25,567","25,441","40,110","35,804","29,841","33,702","23,704","26,088","27,820","26,529","27,786","25,033","25,380","28,751","32,694","29,445","29,853","30,402","25,165","26,622","26,433","27,918","26,547","26,178","26,069","26,302","31,831","33,839","29,265","36,814","26,608","30,304","27,482","29,027","27,035","27,814","27,798","28,204","34,084","29,118","29,878","27,894","29,469","31,802","30,759","33,324","30,892","35,202","35,641","30,888","41,365","32,527","31,931"
260,"32,763","29,714","30,588","35,116","27,769","36,651","40,178","32,049","30,967","43,402","41,480","42,882","35,194","27,363","31,143","32,153","26,975","35,737","35,451","29,075","29,782","36,002","37,357","31,731","37,573","26,743","27,651","31,257","25,733","32,633","30,371","25,951","26,894","33,445","32,498","37,198","31,694","24,288","26,075","32,869","27,306","30,310","28,933","25,767","25,571","41,792","36,688","30,547","34,500","23,710","26,245","28,725","27,002","28,382","25,175","25,525","29,204","33,618","30,067","30,057","30,861","25,243","26,751","26,618","28,247","26,916","26,463","26,098","26,298","32,380","34,518","29,594","38,273","26,761","30,763","27,549","29,412","27,204","28,059","27,990","28,178","34,933","29,284","30,006","28,063","29,439","32,512","31,233","33,835","31,225","35,853","36,337","31,165","42,751","33,051","31,924"
280,"33,361","30,131","31,167","35,955","27,924","37,582","41,965","32,390","31,402","44,963","42,033","43,194","35,890","27,743","31,192","32,843","27,063","36,343","36,304","29,235","29,961","36,524","38,173","32,494","37,629","27,039","27,929","32,390","25,839","32,924","30,880","25,835","27,145","34,418","33,125","38,302","32,239","24,318","26,047","33,563","27,580","30,698","29,267","25,857","25,694","43,235","37,059","31,071","35,320","23,751","26,339","29,333","27,363","29,022","25,431","25,547","29,749","34,467","30,624","30,239","31,273","25,261","26,967","26,741","28,635","27,202","26,698","26,159","26,359","32,663","35,008","29,704","39,475","26,743","31,445","27,604","29,694","27,263","28,118","28,180","28,206","35,327","29,327","30,255","27,945","29,733","32,973","31,514","34,088","31,355","36,802","36,863","31,478","43,633","33,251","31,908"
300,"33,876","30,594","31,927","36,692","28,004","38,510","43,135","32,720","31,845","46,671","42,518","43,575","36,437","28,080","31,176","33,498","27,124","36,875","36,914","29,367","30,059","36,835","38,502","33,047","37,749","27,141","28,163","33,388","25,933","33,088","31,161","25,876","27,278","35,373","33,896","39,265","32,918","24,502","26,220","34,073","27,876","31,153","29,480","25,935","25,794","44,414","37,196","31,669","36,137","23,767","26,516","30,073","27,729","29,624","25,657","25,647","29,869","35,055","31,204","30,490","31,904","25,284","27,151","27,012","28,931","27,635","26,865","26,282","26,378","32,896","35,231","29,810","40,971","26,773","32,043","27,914","30,006","27,576","28,341","28,398","28,327","35,510","29,378","30,096","27,990","30,324","33,790","32,071","34,545","31,647","37,535","37,284","32,108","44,363","33,612","31,937"
320,"34,402","30,931","32,351","36,847","28,094","39,192","43,949","32,941","31,998","48,031","42,457","43,531","36,784","28,480","31,059","34,167","27,198","37,045","37,186","29,520","30,169","36,829","38,790","33,473","37,575","27,367","28,471","34,133","25,957","32,829","31,120","25,827","27,329","36,090","34,369","39,922","33,180","24,649","26,178","34,249","28,018","31,378","29,531","25,955","25,837","45,365","37,280","32,218","36,814","23,698","26,655","30,673","28,008","30,204","25,800","25,690","29,916","35,400","31,788","30,559","32,114","25,339","27,224","27,049","28,884","27,898","26,882","26,273","26,335","32,822","35,053","29,794","41,880","26,698","32,355","27,910","30,035","27,741","28,402","28,394","28,212","35,402","29,343","30,171","27,851","30,410","34,155","32,169","34,745","31,612","37,849","37,431","32,278","44,741","33,843","32,014"
340,"34,643","31,314","32,714","37,120","28,161","39,635","44,802","33,124","32,125","49,431","42,767","43,388","36,963","28,592","30,835","34,731","27,329","37,500","37,608","29,582","30,198","36,535","39,157","33,753","37,651","27,563","28,910","34,565","25,931","32,729","31,155","26,080","27,239","36,651","35,235","40,459","33,208","24,622","26,380","34,263","28,131","31,478","29,559","26,045","25,835","46,141","37,253","32,698","37,194","23,725","26,947","31,035","28,208","30,661","26,016","25,788","29,914","35,808","32,055","30,716","32,661","25,202","27,339","27,333","28,945","28,202","26,884","26,392","26,471","32,663","34,959","29,780","43,190","26,725","32,914","28,102","30,233","27,988","28,418","28,469","28,188","35,359","29,451","30,261","27,924","30,839","34,620","32,482","35,141","31,525","38,416","37,600","32,547","45,341","34,318","32,080"
360,"34,882","31,541","33,192","37,294","28,382","40,157","45,437","33,376","32,241","50,475","42,718","43,469","37,337","28,863","30,820","35,476","27,365","37,639","37,825","29,527","30,239","36,055","39,571","34,139","37,561","27,804","29,088","34,896","26,037","32,535","31,090","26,073","27,298","37,316","35,724","41,039","33,347","24,814","26,339","34,341","28,286","31,584","29,647","26,255","25,961","46,492","37,163","33,216","37,763","23,784","27,122","31,441","28,449","31,271","26,153","25,969","29,818","35,947","32,629","30,922","33,078","25,286","27,455","27,537","29,008","28,571","26,939","26,573","26,478","32,598","34,918","29,839","44,314","26,767","33,102","28,312","30,220","28,104","28,537","28,647","28,243","35,333","29,324","30,118","27,861","30,888","34,367","32,569","35,273","31,475","38,510","37,682","32,863","45,635","34,439","32,180"
380,"35,318","31,824","33,484","37,557","28,465","40,971","46,233","33,620","32,122","50,688","42,976","43,539","37,812","28,941","30,641","35,906","27,302","38,057","37,808","29,388","30,186","35,912","39,878","34,659","37,537","27,953","29,237","34,688","26,027","32,367","30,900","25,894","27,231","37,586","36,167","41,502","33,300","24,806","26,302","33,976","28,149","31,451","29,598","26,229","26,016","46,967","37,418","33,427","38,137","23,741","27,135","31,569","28,343","31,539","26,376","25,992","29,743","36,131","33,153","30,994","33,445","25,361","27,422","27,645","28,937","28,810","26,859","26,535","26,437","32,390","34,943","30,135","45,255","26,722","33,114","28,253","30,127","28,184","28,625","28,749","28,194","35,027","29,435","30,122","27,933","30,953","34,371","32,433","35,510","31,576","38,471","37,614","32,904","45,549","34,651","32,031"
