File_Type,GValue
File_Version,1
GP,

MTP_Type,96Wells_Square
MTP_Wells_X,12
MTP_Wells_Y,8
Timestamp,20201209_143618
MTP,1
Plate-ID,

Time (min),A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
200,"45,820","32,124","34,849","42,361","56,888","44,463","49,625","55,594","51,329","56,200","62,075","66,475","44,598","35,543","41,663","43,682","43,449","53,171","47,325","58,533","53,225","57,812","50,875","36,373","54,092","48,504","45,788","43,176","41,937","53,825","51,075","36,408","63,920","44,345","43,771","46,743","53,049","46,414","41,882","57,627","53,873","51,163","43,361","40,912","49,545","54,316","52,855","45,810","43,382","51,504","42,771","46,559","54,167","43,157","36,137","38,841","56,737","43,425","31,531","40,418","49,757","56,471","57,812","47,353","53,341","43,000","47,751","46,849","47,780","47,435","51,424","48,571","45,906","41,782","53,547","43,012","54,586","49,971","54,090","44,547","53,790","50,943","64,222","42,494","28,633","39,084","50,437","57,780","44,502","46,880","33,284","52,033","40,969","47,643","48,822","40,012"
220,"48,247","31,508","33,863","44,465","58,678","47,027","53,118","59,163","54,143","57,353","65,484","68,961","46,857","35,482","43,957","47,125","45,741","56,863","50,884","61,561","56,575","60,608","53,824","35,467","56,459","51,798","49,367","45,247","44,490","58,131","54,475","38,653","67,831","46,851","46,473","49,692","55,749","50,245","44,886","59,747","58,010","55,280","46,553","44,067","52,524","56,955","56,165","48,755","46,737","55,241","44,761","48,876","57,512","45,220","37,200","41,359","60,937","45,284","31,382","42,561","52,735","59,682","61,839","51,243","57,082","46,902","51,176","49,808","50,694","50,445","53,833","52,167","48,180","44,031","56,378","46,392","58,945","53,504","58,380","48,290","54,343","54,749","69,165","43,575","28,665","41,551","53,722","62,555","48,325","47,767","33,463","54,961","43,106","50,345","50,314","38,606"
240,"49,473","30,992","32,955","45,582","59,333","48,143","54,273","60,443","55,794","57,765","67,363","70,090","47,157","34,449","45,218","49,680","47,418","59,937","52,886","63,669","57,710","61,696","55,135","34,251","58,155","53,584","51,437","46,337","45,757","60,690","55,786","38,351","69,361","48,351","49,337","51,335","57,439","52,367","46,727","61,361","60,722","57,245","48,102","46,588","54,388","58,149","58,151","50,755","46,514","54,800","45,957","50,629","60,043","46,976","36,745","43,280","63,606","45,376","30,273","39,959","53,588","60,922","63,704","53,378","59,241","49,018","53,298","50,853","52,018","52,045","55,524","53,724","48,345","44,543","57,731","48,318","61,722","55,763","60,706","50,069","54,494","56,412","74,159","42,188","28,520","40,663","56,890","66,445","51,604","48,453","32,080","56,875","43,837","49,884","51,292","37,441"
260,"48,792","30,365","32,384","46,427","59,537","47,778","54,367","60,910","56,525","58,414","68,673","70,784","46,304","33,771","44,404","51,127","47,590","62,629","53,796","65,363","58,120","63,367","55,671","33,718","58,424","55,029","50,288","47,829","47,192","63,098","57,165","37,273","71,322","48,900","52,322","50,451","58,698","53,282","46,410","64,676","63,398","60,051","49,312","47,237","55,973","59,769","60,000","52,151","44,810","57,678","46,071","52,920","62,122","49,414","35,755","41,641","65,539","44,378","29,884","38,269","54,406","62,692","65,035","54,908","60,975","50,602","54,345","52,269","53,016","53,904","58,724","52,816","46,880","45,475","59,059","46,449","65,024","58,398","62,718","48,841","54,033","58,324","75,880","41,310","28,429","39,035","57,171","69,153","51,931","47,853","31,451","57,831","41,775","49,518","52,441","37,041"
280,"47,106","29,896","31,710","45,775","60,688","46,835","53,161","61,051","54,673","60,176","70,047","71,231","45,045","32,831","43,035","52,002","45,643","63,088","54,461","65,037","59,884","64,229","55,339","32,967","58,739","54,145","49,271","48,253","46,314","64,253","58,929","36,916","73,435","47,659","54,124","49,212","57,890","54,124","45,643","65,437","64,904","61,769","48,851","45,796","57,873","60,716","60,361","51,071","43,829","58,390","43,939","50,778","64,616","47,233","35,006","41,006","65,757","43,718","29,347","37,745","55,790","64,704","65,578","56,751","60,975","49,131","53,961","53,469","53,659","53,933","60,871","51,386","45,243","45,555","61,745","44,890","63,529","56,143","63,927","48,008","53,206","58,767","76,410","39,908","28,178","37,788","55,333","66,873","51,002","47,629","30,637","59,080","41,065","49,004","52,610","36,569"
300,"46,873","29,757","31,539","44,890","62,045","46,353","52,641","60,090","53,349","61,355","69,898","70,798","44,765","32,282","42,502","52,843","45,043","63,171","53,394","64,124","61,029","64,576","55,225","32,725","58,616","53,116","49,557","47,680","45,102","64,945","59,841","36,769","74,190","46,882","56,233","49,390","56,863","55,002","44,453","65,902","65,586","63,178","48,375","46,137","58,986","60,139","61,075","49,665","43,627","55,484","43,637","48,280","63,025","45,104","34,763","40,920","65,302","43,792","29,090","37,371","56,896","66,514","65,082","58,051","60,657","48,065","54,975","51,894","54,024","53,324","62,631","51,449","44,984","44,259","62,253","44,147","63,194","55,200","64,890","47,349","53,459","59,773","76,855","39,784","28,200","37,753","54,502","66,039","51,182","47,373","30,818","57,786","41,031","49,525","52,067","36,331"
320,"46,275","29,661","30,890","43,571","61,078","44,927","51,651","58,739","52,102","61,204","70,527","70,790","43,757","31,529","41,175","51,967","44,271","62,425","51,741","63,755","59,557","64,896","53,073","32,380","57,676","50,971","49,080","46,127","43,480","65,720","58,351","36,233","72,988","45,245","56,669","48,310","54,633","54,418","43,308","65,582","66,157","64,129","46,596","45,794","59,353","57,653","60,755","47,482","42,463","53,351","42,398","46,771","61,361","43,861","33,947","40,365","65,020","42,875","28,739","36,449","55,657","67,280","65,055","55,508","59,916","46,616","52,892","50,088","51,192","52,196","61,820","50,541","44,325","42,278","59,375","43,161","61,739","53,692","63,445","46,280","52,461","59,751","76,600","38,976","27,890","36,933","53,776","64,873","51,204","46,884","30,212","55,002","40,355","48,837","49,506","35,912"
340,"46,171","29,435","30,737","43,459","59,359","44,231","51,714","59,269","51,814","60,388","71,088","71,941","43,545","31,435","40,641","52,465","44,780","62,910","51,520","66,892","59,020","66,400","52,612","31,965","57,700","50,396","50,071","45,565","42,994","67,310","57,543","36,414","74,441","44,888","58,129","48,155","52,984","53,998","43,369","65,945","67,784","65,045","46,775","46,673","59,357","57,520","61,053","46,873","42,592","53,392","42,506","46,433","61,625","43,390","33,988","40,351","67,035","42,806","28,669","36,569","54,245","69,978","68,486","55,567","61,235","46,249","52,490","50,031","49,653","52,047","61,084","50,545","44,584","41,476","58,667","43,112","61,753","53,631","63,004","46,112","52,665","59,820","77,822","39,167","28,129","36,884","53,790","65,859","51,167","47,453","30,527","54,420","40,273","49,169","48,757","36,243"
360,"45,878","29,188","30,527","42,543","57,929","43,322","50,767","58,765","50,849","59,212","70,575","70,698","42,998","31,073","39,673","51,400","44,808","62,498","50,110","68,943","57,782","65,914","51,665","31,549","57,022","49,155","50,267","44,280","42,065","66,390","56,863","36,073","75,796","44,243","58,406","47,380","51,357","52,524","42,416","63,943","68,931","63,994","46,310","46,825","57,947","56,224","60,539","45,865","41,720","52,712","41,959","45,298","61,278","42,343","33,576","39,818","65,173","42,282","28,400","36,186","52,257","68,433","70,280","54,488","62,804","45,427","51,969","49,516","48,429","51,580","60,480","50,245","43,625","40,541","57,578","42,429","61,114","52,680","62,220","45,404","52,106","59,088","79,859","38,906","28,100","36,545","53,173","65,392","50,173","47,298","30,247","53,614","39,796","48,916","47,786","36,041"
"380,25","45,398","28,867","30,237","41,910","57,361","42,778","50,425","58,502","50,406","57,931","69,571","70,006","42,437","30,780","38,835","50,496","45,327","62,304","48,888","69,078","56,547","64,482","50,827","31,063","56,598","47,945","50,445","43,002","41,400","65,490","55,582","35,557","77,006","43,073","58,551","46,545","50,051","52,037","41,794","62,120","69,994","62,429","45,410","46,737","57,100","55,149","59,604","45,127","40,982","52,212","41,676","44,553","60,655","41,218","33,237","39,257","64,063","41,537","28,184","35,582","50,927","67,578","69,406","53,573","63,043","44,822","50,925","48,459","46,937","50,837","59,455","49,455","43,006","39,624","56,845","41,776","60,753","51,857","61,731","45,122","51,663","57,990","79,847","38,553","27,902","35,900","52,594","65,331","49,749","46,735","29,990","52,559","39,437","48,708","47,002","35,792"
