File_Type,GValue
File_Version,1
GP,
MTP_Type,96Wells_Square
MTP_Wells_X,12
MTP_Wells_Y,8
Timestamp,20201209_143618
MTP,4
Plate-ID,

Time (min),A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
200,"37,125","36,641","33,492","30,222","28,851","43,300","36,086","45,369","37,833","41,194","38,875","40,080","38,029","34,633","29,547","41,608","36,976","28,884","48,718","54,910","33,924","42,186","29,925","70,422","27,096","29,663","48,988","37,341","30,159","43,178","27,796","41,645","27,698","30,614","50,629","29,084","25,186","28,129","37,127","44,622","47,086","29,724","29,165","71,361","47,425","39,453","31,218","24,753","24,476","26,290","30,639","24,880","31,339","32,267","32,698","25,151","29,224","35,212","29,712","24,725","72,176","47,978","23,843","26,824","28,773","29,380","27,443","32,841","36,533","37,769","52,700","33,345","52,688","26,163","26,390","34,686","25,651","42,243","40,025","56,306","64,263","57,237","71,406","54,206","28,955","29,249","30,984","29,535","28,541","34,827","67,657","71,286","59,086","29,400","47,937","29,847"
220,"37,555","37,788","34,204","30,239","28,510","44,173","36,629","47,990","39,086","43,363","39,418","41,529","38,069","35,498","30,851","41,110","37,461","29,061","52,624","57,676","34,220","44,827","30,627","72,249","26,522","30,249","51,508","37,927","30,794","44,690","28,224","44,602","28,231","31,576","53,900","28,473","25,576","28,020","37,355","47,324","49,798","30,167","30,447","73,990","49,280","40,867","31,847","24,843","24,675","25,659","30,967","24,808","31,578","32,837","33,459","25,373","29,675","37,018","29,865","24,720","79,173","50,602","23,837","27,143","30,016","29,580","27,849","34,976","36,418","37,857","54,794","33,978","55,445","26,620","26,049","34,863","25,559","44,759","42,469","57,075","66,035","58,969","73,076","55,961","29,059","28,575","31,275","29,704","28,849","34,965","70,214","71,549","61,206","30,278","50,396","29,692"
240,"37,682","37,124","32,929","29,496","27,863","44,588","36,433","49,112","39,745","44,131","40,314","42,131","38,147","33,871","31,153","40,406","38,275","28,545","53,851","60,290","34,673","46,006","29,978","74,831","25,980","30,035","52,237","37,559","30,414","46,663","28,139","45,996","28,116","31,318","56,455","28,184","25,429","27,390","36,792","48,396","51,598","29,592","30,822","75,310","51,286","41,355","32,692","24,871","24,586","25,239","29,992","24,441","30,724","33,008","32,745","25,118","29,692","36,265","29,978","24,753","81,114","52,249","23,655","26,414","29,604","29,771","27,612","36,369","34,871","36,563","55,445","33,539","57,218","26,308","26,004","34,078","25,271","46,373","42,857","58,427","67,629","60,059","74,975","57,076","28,810","28,196","31,455","29,461","29,316","34,139","72,612","73,484","62,153","30,639","51,169","29,033"
260,"36,190","35,882","32,108","28,851","27,651","44,818","34,708","50,773","38,555","44,547","38,912","41,051","38,239","32,737","30,775","40,461","36,545","28,231","52,120","63,633","34,508","47,761","29,302","76,029","25,727","29,043","53,335","35,949","29,565","48,206","27,645","45,282","27,694","30,604","58,086","27,729","25,233","26,978","35,671","49,773","53,547","28,865","30,257","76,308","53,353","40,055","31,749","24,735","24,373","25,078","29,433","24,284","29,706","31,529","32,102","24,829","28,894","35,010","29,506","24,545","82,876","52,682","23,643","26,039","29,014","28,845","27,592","36,335","33,520","35,349","57,261","32,912","58,127","26,206","25,892","33,673","25,259","44,845","41,398","60,016","70,275","62,131","80,112","59,424","28,592","27,861","31,192","29,237","29,071","33,022","78,686","78,459","62,873","30,457","52,225","28,647"
280,"35,092","35,082","31,704","28,510","26,886","43,092","34,090","51,824","36,520","42,624","37,959","39,375","37,337","31,725","30,902","39,831","34,692","27,318","51,698","66,839","32,857","49,020","29,000","76,914","25,524","28,606","55,200","35,255","28,675","47,633","27,069","44,090","27,569","30,025","59,688","27,722","25,129","26,625","35,116","51,139","55,208","28,229","29,714","78,492","55,639","38,810","31,157","24,669","24,261","25,069","29,271","24,161","28,918","30,153","31,037","24,449","27,967","33,629","28,837","24,694","84,765","53,337","23,647","25,753","28,859","28,433","27,284","35,967","32,941","34,700","58,514","32,635","58,959","25,914","25,590","33,114","25,118","43,784","40,663","62,812","74,196","65,288","86,996","57,869","28,361","27,690","30,561","29,053","28,629","32,345","83,522","82,075","63,008","29,945","52,112","28,404"
300,"34,645","34,622","31,090","28,278","26,990","42,204","33,769","52,641","35,829","41,908","37,039","38,853","36,455","31,214","29,984","38,508","34,280","26,971","52,210","67,073","31,873","49,914","28,329","76,455","25,243","28,216","56,308","34,518","28,390","47,006","26,935","43,433","27,257","29,555","60,235","27,380","24,957","26,445","34,369","51,806","55,963","27,773","29,418","80,667","57,039","37,861","30,890","24,520","24,239","24,945","28,812","24,045","28,692","29,473","30,382","24,159","27,433","33,259","28,239","24,661","87,112","53,296","23,769","25,576","28,384","28,184","27,157","35,784","32,306","34,190","59,137","32,637","60,267","25,882","25,553","32,969","24,957","43,700","40,622","65,031","76,233","67,027","84,843","54,031","28,161","27,582","30,071","28,600","28,333","31,984","82,963","82,765","65,345","29,610","51,816","28,492"
320,"34,157","33,629","30,698","28,014","26,612","40,639","33,365","51,241","35,167","40,925","36,259","38,110","35,314","30,537","28,910","37,955","33,512","26,522","51,945","65,076","31,059","48,227","27,818","75,388","24,990","27,894","56,453","33,533","27,769","46,208","26,633","42,500","26,910","29,031","58,349","27,053","24,780","25,969","33,665","49,839","58,010","27,484","28,802","83,700","58,273","37,182","30,239","24,284","23,973","24,645","28,384","23,894","28,106","28,906","29,778","24,008","26,804","32,345","27,598","24,233","90,912","52,633","23,553","25,341","27,398","27,635","26,929","35,251","31,649","33,565","58,082","31,694","60,578","25,616","25,369","32,545","24,725","42,822","39,973","64,773","76,569","67,227","84,037","52,339","27,692","27,171","29,616","28,218","27,843","31,522","82,245","83,337","68,004","29,282","49,539","28,108"
340,"33,663","33,365","30,541","27,827","26,541","40,047","33,225","50,767","34,778","40,500","35,745","37,653","35,104","30,190","28,306","37,512","33,510","26,263","52,418","65,094","30,786","47,433","27,725","77,163","24,933","27,749","57,371","33,622","27,506","46,131","26,476","42,124","26,886","29,022","57,790","27,110","24,696","25,910","33,222","49,610","60,247","27,365","28,518","88,453","59,002","36,739","29,939","24,269","24,059","24,578","28,220","23,827","27,986","28,700","29,857","23,884","26,688","31,841","27,488","24,296","94,949","51,827","23,555","25,257","27,312","27,173","26,737","35,247","31,255","33,290","56,180","31,367","61,710","25,608","25,200","32,386","24,775","42,992","39,975","62,392","74,178","64,714","85,310","51,676","27,655","27,182","29,567","28,200","27,692","31,363","83,978","85,320","69,980","29,200","48,669","27,935"
360,"33,133","32,908","30,276","27,582","26,731","39,531","32,796","49,965","34,406","40,047","35,418","37,329","34,635","29,794","28,012","36,714","33,184","26,110","52,682","64,694","30,412","46,325","27,520","79,410","25,059","27,506","58,049","33,251","27,506","45,724","26,157","41,549","26,655","28,702","57,010","26,841","24,612","25,716","33,069","48,482","63,925","27,359","28,331","89,098","57,216","36,139","29,667","24,157","24,073","24,439","28,033","23,971","27,524","28,359","29,476","23,871","26,396","31,480","27,263","24,280","96,520","49,806","23,602","25,124","27,190","27,102","26,743","35,022","30,941","32,878","55,129","30,914","61,757","25,433","25,288","32,149","24,657","42,469","39,610","61,220","73,578","63,637","86,582","50,761","27,494","27,039","29,306","28,216","27,482","31,067","84,810","86,886","68,594","28,980","47,561","27,914"
"380,25","32,810","32,641","29,890","27,225","26,302","38,780","32,476","49,104","33,924","39,431","34,994","36,731","33,943","29,302","27,663","36,224","32,665","25,831","52,761","64,365","30,106","44,945","27,290","83,149","24,710","27,225","56,939","32,516","27,222","45,163","25,955","41,112","26,427","28,147","56,225","26,708","24,416","25,473","32,418","47,641","66,969","26,927","27,910","86,792","55,992","35,467","29,253","24,047","23,914","24,273","27,749","23,653","27,471","28,145","28,967","23,698","26,233","30,971","26,951","24,096","96,992","48,449","23,386","25,057","26,871","26,859","26,398","34,792","30,335","32,584","53,665","30,527","60,582","25,263","25,114","31,820","24,567","41,855","39,424","60,041","72,214","62,506","86,871","49,912","27,455","26,775","28,945","27,898","27,159","30,827","85,316","87,947","68,588","28,543","45,998","27,727"
400,"32,249","31,871","29,510","27,088","26,296","37,910","31,990","48,627","33,194","38,561","34,357","36,173","33,235","28,810","27,239","35,431","32,275","25,637","52,600","64,531","29,673","44,120","27,251","85,794","24,569","26,749","55,408","31,733","26,992","44,257","25,578","40,218","26,286","27,941","55,300","26,825","24,410","25,124","31,635","47,006","68,812","26,810","27,610","85,478","55,390","35,039","28,810","24,184","23,718","24,024","27,575","23,631","27,229","27,808","28,712","23,524","26,110","30,525","26,749","24,094","96,116","46,724","23,229","24,792","26,924","26,580","25,998","34,420","30,398","31,976","52,131","29,898","59,206","25,098","25,092","31,341","24,543","41,182","38,831","58,833","71,600","61,188","86,296","48,649","27,063","26,531","28,841","27,641","26,955","30,314","85,141","87,937","67,500","28,335","45,159","27,541"
420,"32,082","31,724","29,598","27,020","26,122","37,676","32,069","48,200","32,882","38,327","33,959","36,094","32,969","28,684","26,822","35,035","32,090","25,641","52,661","64,953","29,422","43,269","27,182","84,453","24,529","26,716","55,118","31,722","26,953","43,984","25,394","39,982","26,112","27,810","55,173","26,400","24,376","24,998","31,282","46,541","67,361","26,714","27,278","85,957","55,206","34,931","28,688","24,071","23,804","24,116","27,314","23,614","27,263","27,445","28,637","23,400","25,912","30,202","26,555","24,112","96,751","45,775","23,263","24,902","26,825","26,557","26,178","34,357","30,118","31,822","52,065","29,429","58,912","25,055","25,102","31,269","24,516","41,147","38,592","59,020","71,976","61,616","87,804","48,102","26,929","26,482","28,543","27,582","26,780","30,100","86,078","89,780","68,445","28,200","44,851","27,582"
440,"31,984","31,427","29,231","26,749","26,208","36,812","31,755","47,047","32,618","37,418","33,612","35,284","32,518","28,247","26,745","34,518","31,416","25,353","52,659","64,886","29,120","42,327","27,006","83,527","24,514","26,673","54,522","31,092","26,735","43,243","25,257","39,124","25,890","27,473","54,425","26,141","24,271","24,824","31,147","46,022","67,173","26,494","26,984","85,578","54,576","34,427","28,424","24,104","23,675","23,849","26,869","23,555","26,847","26,965","28,153","23,306","25,743","29,818","26,349","23,959","96,729","44,878","23,306","24,767","26,590","26,251","25,951","34,316","29,792","31,320","51,080","28,763","58,480","24,863","25,018","30,943","24,375","40,408","38,237","58,161","71,418","60,508","88,235","47,329","26,761","26,322","28,335","27,473","26,596","29,918","86,590","89,853","68,231","27,965","44,263","27,463"
460,"31,361","31,131","29,018","26,531","26,037","36,327","31,659","45,839","32,055","36,622","33,061","35,159","32,275","27,761","26,494","33,845","31,255","25,184","51,545","63,814","28,706","41,245","26,649","81,998","24,351","26,304","53,349","30,782","26,729","42,308","24,947","38,633","25,755","27,165","53,284","25,718","24,090","24,700","30,786","45,335","66,649","26,165","26,653","85,108","53,592","33,657","28,135","23,884","23,651","23,941","26,629","23,512","26,578","26,931","27,525","23,233","25,527","29,433","26,161","23,937","95,718","44,257","23,161","24,635","26,335","26,386","25,878","33,873","29,292","30,980","49,965","28,267","57,276","24,608","24,825","30,359","24,290","39,492","37,608","57,304","70,782","59,947","87,608","46,300","26,667","26,280","27,812","26,976","26,194","29,567","85,765","89,612","67,425","27,618","43,116","27,310"
480,"31,025","30,933","28,784","26,441","25,865","35,998","31,259","45,098","31,588","36,194","32,641","34,610","31,849","27,410","25,994","33,302","30,425","25,010","51,210","64,043","28,271","40,565","26,555","81,314","24,275","26,184","52,567","30,208","26,590","41,665","24,865","37,922","25,475","26,953","52,837","25,704","23,994","24,559","30,298","44,769","67,222","25,990","26,447","85,620","53,637","33,165","27,890","23,841","23,506","23,722","26,643","23,200","26,494","26,727","27,314","23,135","25,288","29,165","25,924","24,106","95,710","43,410","23,153","24,488","26,145","26,112","25,598","33,394","29,018","30,633","49,802","27,880","56,590","24,592","24,735","30,271","24,059","38,802","36,837","57,224","70,525","59,186","87,455","44,992","26,396","26,110","27,382","26,784","25,953","29,235","85,916","89,451","66,663","27,349","42,714","27,088"
