File_Type,GValue
File_Version,1
GP,
MTP_Type,96Wells_Square
MTP_Wells_X,12
MTP_Wells_Y,8
Timestamp,20210122_103346
MTP,7
Plate-ID,

Time (min),A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
200,"30,629","29,482","30,706","30,178","36,014","34,635","29,655","31,441","35,135","31,298","29,794","29,861","26,333","28,845","34,586","28,367","29,300","26,065","27,586","31,959","35,880","29,747","31,247","33,757","27,661","26,900","25,506","24,596","25,606","30,004","25,690","29,108","27,173","30,522","30,427","30,567","32,998","30,216","27,663","29,682","30,510","28,078","25,753","28,633","27,365","32,931","36,035","35,890","28,022","27,604","27,102","24,571","24,184","25,298","26,094","25,520","27,151","26,857","26,478","27,196","26,910","27,590","28,857","25,878","30,108","25,853","27,096","30,133","31,847","29,151","30,204","30,798","35,920","38,684","33,878","33,790","36,222","30,186","29,943","30,959","31,665","29,914","33,663","34,127","39,725","32,088","31,449","31,061","30,457","33,122","31,222","32,659","34,212","31,445","31,673","30,808"
220,"32,292","31,286","31,735","32,286","37,514","37,061","31,873","33,596","36,594","33,155","30,727","30,427","27,024","30,422","35,867","29,176","29,975","26,682","28,978","32,229","36,435","30,814","32,035","34,122","29,692","27,873","26,184","25,065","26,694","30,453","26,251","31,086","28,029","32,269","31,345","32,912","33,280","31,276","28,416","30,265","31,229","27,827","26,082","29,182","28,622","34,353","36,702","36,214","29,504","28,437","27,608","25,120","24,518","26,161","27,237","26,525","28,510","27,884","27,102","27,820","28,422","28,751","30,161","26,159","31,802","26,692","27,767","30,024","32,986","30,069","31,437","31,908","39,688","39,012","35,688","34,973","36,812","32,508","31,231","32,453","33,649","31,661","37,216","38,045","40,945","33,592","33,484","33,933","30,843","34,167","33,216","34,198","37,727","33,608","33,735","32,727"
240,"34,708","33,541","33,280","35,180","40,855","40,361","34,567","36,665","38,920","36,551","32,092","30,978","27,982","33,194","37,463","30,675","30,851","27,404","31,435","32,510","37,441","32,129","33,302","34,367","32,500","29,206","26,604","25,620","28,220","31,145","26,845","33,524","28,914","34,425","32,792","36,094","33,578","32,900","29,178","31,147","32,169","27,433","26,488","30,206","30,473","35,969","37,967","36,473","31,573","29,684","28,151","25,841","24,802","27,365","29,088","28,020","30,527","28,888","27,786","28,743","30,316","29,935","31,908","26,182","34,120","28,006","28,594","29,622","34,449","31,063","33,025","33,508","43,427","40,500","38,298","36,363","38,176","35,524","32,773","34,937","36,580","34,437","41,700","42,771","43,143","35,376","36,290","37,375","31,271","35,449","35,622","36,449","42,173","36,578","36,551","35,455"
260,"37,884","36,988","35,806","39,449","44,082","43,596","38,847","41,308","42,218","40,347","34,694","32,524","29,418","37,296","40,335","33,027","32,135","28,992","35,114","33,553","39,478","34,261","35,349","35,194","36,545","31,494","27,512","26,935","30,967","32,082","28,545","37,802","30,698","37,778","35,218","40,775","34,837","35,333","30,912","32,116","33,614","26,735","27,404","31,653","33,414","38,227","40,633","37,859","34,188","31,353","29,420","27,196","25,647","28,941","32,061","30,027","33,682","30,990","28,757","30,582","33,196","31,469","34,586","26,847","37,792","29,949","29,967","28,876","37,078","32,437","35,502","35,812","45,888","43,435","41,939","38,778","40,733","39,837","35,400","38,886","40,645","38,702","45,594","46,800","45,855","38,018","39,855","41,586","31,904","37,427","40,037","40,125","46,749","41,076","41,284","40,186"
280,"42,871","42,445","39,961","43,629","48,365","46,269","44,173","45,941","46,578","45,831","38,375","34,561","32,016","43,096","44,520","37,186","35,225","31,651","40,157","35,533","42,516","37,678","38,537","36,796","42,022","35,324","28,729","29,055","35,296","34,582","31,055","42,602","33,390","43,518","39,006","45,582","36,800","39,573","33,594","34,747","37,090","26,700","29,049","34,643","37,973","42,239","44,943","40,200","38,692","34,725","31,725","29,735","27,173","31,771","36,129","33,188","38,371","34,133","30,916","33,384","37,918","34,212","38,935","27,618","42,849","32,916","32,629","28,904","40,798","35,135","38,757","39,680","50,892","47,100","44,937","43,310","44,404","44,182","40,425","41,984","45,212","44,276","50,235","52,429","48,712","41,235","44,212","45,014","32,773","40,173","45,051","44,692","50,939","45,731","46,016","46,098"
"300,25","46,073","46,114","44,220","47,043","52,225","50,645","48,124","50,327","49,643","50,071","42,900","37,257","36,129","47,380","47,396","42,339","38,937","34,647","44,053","38,108","46,029","41,496","42,390","38,665","45,296","40,267","29,984","31,810","40,571","37,747","34,176","45,747","37,155","46,725","43,447","48,596","39,388","43,496","37,045","37,780","41,357","26,686","31,200","38,937","42,173","44,886","47,157","42,937","42,433","38,867","34,984","32,820","28,963","36,041","40,937","37,639","43,512","36,953","33,165","36,810","42,325","37,145","43,278","28,641","46,069","37,320","36,163","28,776","43,629","38,439","42,655","44,131","56,943","52,459","49,418","46,424","46,161","47,796","45,002","45,857","48,257","48,684","55,755","59,290","52,371","43,647","47,171","48,453","33,473","42,516","49,480","47,276","56,833","49,047","49,106","49,975"
320,"49,398","50,865","46,969","52,010","58,384","55,241","53,645","57,784","53,925","56,361","47,357","40,861","40,673","53,778","52,931","46,229","42,451","39,184","48,229","41,380","48,959","44,267","46,118","41,288","49,973","43,451","31,388","35,798","43,533","41,955","38,610","51,129","41,865","52,282","45,778","53,404","42,255","48,159","41,314","41,608","44,345","26,329","34,088","42,684","44,837","48,645","50,422","45,863","45,255","43,041","39,325","37,112","31,888","40,776","44,045","41,720","47,196","40,025","34,965","41,102","45,796","40,176","46,090","29,873","52,480","41,749","39,222","28,575","47,798","41,516","45,506","47,412","62,871","59,865","54,951","49,931","49,698","52,757","47,506","50,878","53,139","54,849","61,735","66,206","57,835","47,292","52,167","52,871","34,041","45,098","55,331","51,371","62,731","53,533","54,086","55,441"
"340,25","54,408","57,563","51,408","57,329","65,382","60,637","60,759","65,531","60,696","64,204","51,645","44,467","43,937","61,435","59,978","51,396","46,012","43,384","53,788","43,955","53,939","48,094","49,504","44,545","56,251","47,412","32,986","40,243","48,204","44,180","42,480","57,461","44,663","58,700","48,947","59,802","44,965","55,675","44,075","44,373","47,071","26,263","38,569","46,290","49,669","52,822","55,400","47,841","49,294","47,163","43,429","41,706","36,233","43,824","48,947","45,622","52,486","43,971","37,447","45,090","50,661","42,586","51,063","31,624","60,022","44,118","43,435","28,920","53,396","43,533","49,792","51,004","68,378","66,129","60,822","55,092","55,104","58,494","52,239","56,573","59,282","62,276","67,529","71,176","63,751","51,216","57,706","58,112","34,853","47,859","61,543","57,578","68,690","59,400","60,094","62,392"
360,"59,171","63,882","57,324","62,249","71,073","65,565","66,984","70,727","66,965","70,469","57,741","47,473","48,251","68,790","66,712","58,612","50,924","46,353","60,161","47,873","60,890","54,580","54,641","47,204","62,259","53,006","34,439","43,373","54,151","48,022","45,263","63,865","48,310","66,182","53,118","65,145","48,441","62,947","48,845","49,018","52,431","25,892","41,971","51,775","55,108","57,082","60,978","50,665","53,804","51,927","46,439","45,314","39,684","48,157","54,604","50,767","58,769","49,139","39,969","51,176","56,257","44,565","56,951","34,212","66,939","48,382","48,198","28,714","59,961","46,620","54,173","54,998","71,835","70,639","66,133","60,808","60,175","64,043","57,971","61,580","64,684","67,455","71,659","74,639","69,157","55,094","62,975","62,282","35,414","51,120","68,127","63,247","72,557","65,025","65,894","69,094"
380,"64,527","69,892","63,018","65,904","75,543","68,959","71,206","75,800","71,371","75,031","64,212","51,727","54,241","72,949","70,957","65,759","57,343","51,153","65,861","54,196","67,108","60,533","60,592","51,194","67,616","58,747","35,837","48,288","60,433","53,780","50,018","69,333","53,712","71,639","57,745","70,043","54,239","68,843","55,757","55,078","58,759","25,600","44,865","58,037","61,612","62,278","66,643","56,035","58,563","57,851","51,255","50,096","42,282","53,692","60,437","57,329","65,610","53,329","43,496","56,747","61,753","47,692","62,461","37,022","70,953","54,261","54,006","28,518","65,792","50,675","58,792","59,876","73,931","76,153","69,914","66,978","65,798","69,118","64,190","65,067","69,149","72,818","74,557","78,529","73,063","59,959","68,369","67,180","36,588","55,451","72,400","69,196","75,890","70,159","70,847","73,810"
