File_Type,GValue
File_Version,1
GP,
MTP_Type,96Wells_Square
MTP_Wells_X,12
MTP_Wells_Y,8
Timestamp,20210126_104027
MTP,2
Plate-ID,

Time (min),A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
200,"32,180","36,480","32,425","37,131","32,653","27,831","32,396","29,247","31,427","32,335","30,041","34,331","33,010","33,845","37,290","32,308","26,996","29,363","28,708","26,376","30,271","30,431","31,802","28,486","32,647","40,514","38,000","30,682","28,771","25,896","27,529","27,729","28,441","29,180","30,178","31,951","29,133","28,098","28,825","27,447","32,786","29,288","25,214","26,712","26,618","28,296","31,390","31,202","31,484","28,727","25,412","27,222","24,592","28,965","30,410","29,090","29,612","26,841","25,988","29,094","33,390","34,241","31,324","30,043","33,673","30,259","34,471","27,237","33,424","48,012","29,473","32,429","33,016","31,314","39,382","31,965","36,506","30,125","32,580","28,171","31,263","28,551","34,549","33,257","39,190","38,402","43,675","38,075","32,198","33,267","31,541","30,243","32,365","29,355","34,324","30,978"
220,"31,841","36,349","32,039","36,833","33,380","27,386","31,576","29,459","32,210","32,233","30,786","35,231","33,331","33,235","35,314","31,741","27,424","30,524","29,276","26,610","30,939","30,633","30,865","29,527","33,022","41,173","39,675","31,886","26,735","26,149","28,578","27,957","30,357","29,867","29,869","31,794","29,451","27,767","29,233","27,696","34,051","29,153","26,010","26,784","26,851","28,980","30,988","32,127","31,429","29,659","25,371","27,829","24,510","29,639","31,992","29,565","29,163","26,700","25,767","29,100","33,386","33,518","33,298","30,327","35,900","29,884","33,892","27,302","33,657","54,353","30,251","34,235","31,957","30,810","38,247","34,292","34,557","30,804","33,535","28,318","31,412","28,720","33,771","32,951","39,184","41,363","42,676","36,543","34,469","36,671","32,006","30,478","32,196","29,510","34,163","30,894"
240,"31,278","36,355","32,208","37,282","34,496","27,339","32,227","29,596","32,898","32,324","31,449","34,947","33,578","33,414","35,022","29,849","27,635","32,929","28,975","26,886","30,469","31,425","31,169","30,196","33,341","37,561","41,527","32,773","26,857","26,496","28,359","28,455","31,804","29,914","30,027","31,449","30,271","27,935","29,453","27,798","32,610","28,996","26,414","26,227","26,925","29,400","30,976","32,612","31,549","29,016","25,327","28,261","24,490","30,016","29,210","28,857","28,843","27,206","25,900","28,871","31,673","33,739","32,406","31,337","37,318","29,635","33,598","27,492","33,161","50,408","29,224","32,310","32,047","30,510","37,888","33,190","34,657","31,212","34,127","28,249","31,553","28,671","33,671","32,167","39,253","43,216","42,614","35,331","35,941","37,486","32,355","30,625","32,284","29,745","34,514","31,200"
260,"31,098","36,153","32,324","36,533","36,208","27,108","31,880","29,098","33,022","31,349","31,373","34,576","32,927","31,880","34,992","29,655","27,875","31,690","29,008","27,039","29,849","31,000","30,953","30,233","33,298","37,286","42,327","32,033","26,808","26,453","28,831","28,739","32,904","30,196","30,504","31,386","30,025","27,563","29,567","28,316","32,139","28,692","26,265","26,545","26,720","28,984","30,698","32,386","31,551","29,282","25,512","27,933","24,222","29,065","29,184","28,831","28,608","26,616","25,759","28,806","31,816","31,002","30,165","32,702","33,912","29,014","33,316","27,743","32,884","45,878","29,324","31,296","30,698","30,008","37,725","32,892","34,610","31,227","34,231","28,092","31,176","28,382","32,725","31,751","38,465","44,159","43,020","34,571","36,188","39,557","32,404","30,584","32,402","29,265","34,602","30,547"
280,"30,541","35,853","31,669","35,269","38,227","26,920","31,333","28,745","33,057","30,614","30,988","34,582","33,186","31,647","34,367","29,575","28,049","31,233","28,573","27,022","29,424","30,761","30,594","30,492","32,943","36,431","38,704","30,782","26,627","26,506","28,645","28,194","33,182","29,978","30,704","31,118","30,492","27,331","29,767","29,455","31,598","28,669","26,747","26,267","26,478","28,690","30,698","32,761","31,302","29,027","25,453","28,090","24,259","28,855","28,671","28,308","28,225","26,637","25,478","28,792","31,176","30,824","30,320","32,957","32,588","28,984","32,549","27,724","32,467","45,416","28,808","30,716","30,198","29,467","37,394","33,265","34,424","31,257","34,092","28,059","31,176","27,771","31,704","31,282","38,325","45,853","42,447","34,302","37,947","40,161","31,814","30,480","31,467","28,929","34,684","30,396"
300,"30,486","35,531","31,786","34,518","41,084","26,996","31,147","28,561","32,053","30,029","30,776","34,304","32,696","30,565","34,318","29,273","28,092","31,792","28,482","26,980","29,010","30,767","29,910","30,586","32,690","36,459","41,047","30,484","26,429","26,276","28,943","27,753","34,820","29,061","30,678","31,349","30,055","26,955","29,404","28,706","31,031","28,455","27,120","26,080","26,151","27,735","30,627","32,986","30,853","28,300","25,506","27,353","24,269","28,404","28,994","28,218","27,945","26,465","25,337","28,704","31,284","30,320","29,696","31,594","32,875","28,275","32,704","27,900","31,971","45,471","28,567","30,841","29,743","29,147","36,345","32,518","34,161","30,875","34,539","27,510","30,373","27,490","31,575","31,059","37,716","46,188","41,427","33,682","39,633","41,718","31,051","30,359","30,804","28,465","33,775","29,833"
320,"30,475","35,088","31,490","34,265","46,284","26,971","30,865","28,298","31,284","30,082","30,465","34,008","32,555","30,335","33,947","29,008","28,069","31,388","28,082","26,853","28,904","30,259","29,418","30,312","32,190","35,990","38,949","30,704","26,249","26,180","28,808","27,327","35,373","28,455","30,027","31,300","30,088","26,790","29,553","28,400","31,012","28,527","26,641","25,910","25,933","27,290","29,906","32,892","30,527","27,884","25,635","27,135","24,224","28,496","28,429","28,076","27,904","26,488","25,214","28,724","31,239","30,243","29,533","31,767","32,953","28,294","32,735","28,112","31,582","45,429","27,961","30,806","29,567","28,935","36,206","32,047","33,845","30,453","34,082","27,300","30,071","27,245","31,182","30,814","37,194","50,539","40,373","33,525","40,243","41,280","30,622","29,865","30,869","28,235","33,365","29,827"
340,"30,196","34,075","31,157","33,618","52,816","26,947","30,498","28,269","30,963","29,665","30,318","33,747","31,778","29,935","33,504","28,694","27,763","30,924","27,902","26,659","28,680","29,843","29,073","29,963","31,835","35,457","38,675","30,278","26,069","25,984","28,273","26,898","35,061","28,102","29,406","31,133","29,888","26,506","29,200","28,108","30,484","28,133","26,925","25,616","25,720","27,008","29,792","32,259","30,184","27,196","25,627","26,876","24,190","27,925","27,704","27,755","27,586","26,371","24,978","28,375","30,718","29,798","28,869","31,382","32,088","27,822","32,196","28,006","31,029","44,367","27,798","30,371","29,112","28,616","35,302","31,580","33,033","29,867","33,682","27,088","29,612","27,047","30,873","30,631","36,606","45,894","39,153","32,851","39,455","40,425","30,245","29,549","30,557","27,990","33,104","29,476"
360,"29,316","33,475","30,533","33,465","63,961","26,596","30,176","28,192","30,833","29,396","30,071","33,284","32,273","30,343","33,112","28,637","27,486","30,531","27,473","26,725","28,278","29,647","28,700","29,682","31,449","34,794","38,449","29,914","25,745","25,735","28,024","26,649","34,843","27,892","29,384","30,057","29,867","26,396","29,137","28,039","29,829","27,818","26,837","25,571","25,716","27,022","29,380","31,804","30,041","27,135","25,567","26,812","24,192","28,031","27,467","27,739","27,520","26,449","25,278","27,882","30,327","29,506","29,022","31,841","30,935","28,229","31,429","27,820","30,984","43,055","27,596","29,514","28,861","28,318","35,443","31,500","32,620","29,863","33,282","27,114","29,649","26,976","30,514","29,875","35,698","45,525","38,506","32,694","38,427","39,804","30,155","29,404","30,629","28,035","33,027","29,502"
380,"30,094","33,769","30,963","33,118","70,827","27,088","30,529","27,967","30,806","29,504","29,906","33,463","31,445","29,675","33,096","28,659","27,490","30,398","27,590","26,684","28,265","29,392","28,600","29,267","31,422","34,914","37,937","29,910","25,825","25,510","27,651","26,418","34,702","27,725","29,129","31,035","29,825","26,292","29,194","28,045","30,188","28,000","26,124","25,710","25,535","26,802","29,125","31,467","29,716","26,857","25,573","26,790","24,282","27,716","27,114","27,624","27,365","26,506","24,978","28,539","30,510","29,494","28,641","31,659","31,418","27,622","32,020","28,543","30,655","42,312","27,518","30,031","29,167","28,431","34,947","31,147","32,278","29,571","33,292","26,827","29,290","26,810","30,416","30,410","36,218","45,378","37,365","32,600","37,633","38,884","29,994","29,435","30,565","27,749","32,876","29,288"
