File_Type,GValue
File_Version,1
GP,

MTP_Type,96Wells_Square
MTP_Wells_X,12
MTP_Wells_Y,8
Timestamp,20210126_104026
MTP,1
Plate-ID,

Time (min),A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
200,"44,488","55,086","37,496","26,600","36,200","31,353","28,592","28,063","41,553","34,831","32,504","33,949","48,775","45,253","28,247","27,441","26,947","30,345","27,065","35,331","33,294","31,294","35,733","28,876","50,002","37,231","32,749","29,249","25,973","27,635","27,412","32,567","30,996","28,849","27,863","38,227","40,859","34,253","27,137","26,025","24,416","24,743","26,641","25,694","26,088","31,857","31,418","27,784","36,571","24,678","28,004","26,659","25,539","25,810","24,825","25,114","25,163","27,367","28,557","31,261","39,267","32,063","29,231","25,851","26,498","25,090","26,033","26,343","26,616","26,922","26,404","26,120","32,108","31,557","32,696","28,957","27,294","27,604","26,141","27,025","27,402","28,839","27,392","27,982","31,700","31,665","28,833","30,535","29,057","30,000","27,710","28,118","28,133","30,282","30,727","31,257"
220,"46,194","58,000","37,724","26,484","36,322","31,524","28,661","28,069","41,243","35,255","32,455","33,986","53,998","50,818","28,473","27,918","27,239","30,516","27,363","35,082","33,516","32,035","35,676","28,843","53,961","39,304","32,771","28,139","25,927","27,639","27,533","32,467","31,008","28,543","28,388","38,855","42,349","34,735","27,318","26,155","24,539","24,912","26,639","25,614","26,118","33,229","31,398","27,982","37,839","25,216","26,722","26,575","25,643","25,624","24,894","25,186","25,157","27,445","28,533","31,329","40,965","31,939","29,425","25,888","26,410","25,216","26,214","26,257","26,549","26,835","26,506","26,249","32,471","33,065","32,888","28,702","27,412","27,994","26,035","26,957","27,555","28,908","27,482","27,929","31,657","32,253","29,061","30,353","29,118","30,555","27,484","27,686","28,114","30,214","30,706","31,163"
240,"48,784","60,469","37,749","26,490","37,967","32,235","28,659","27,957","41,118","34,502","32,888","33,943","58,359","55,180","27,625","28,390","27,278","30,655","27,257","35,053","33,590","32,259","35,557","29,051","55,886","42,004","32,653","27,898","25,833","27,778","27,686","32,569","31,118","28,586","28,976","38,820","42,914","35,902","27,510","26,300","24,716","24,937","26,643","25,700","26,076","34,929","31,447","28,235","39,737","25,516","26,675","25,492","25,612","25,688","24,855","25,231","25,204","27,661","28,565","31,441","44,429","32,394","29,322","25,953","26,602","25,427","26,253","26,329","26,598","26,863","26,569","26,388","32,627","35,910","33,757","29,275","27,492","28,451","26,190","26,959","27,665","29,041","27,384","27,769","31,792","32,353","28,929","31,310","29,037","30,141","27,561","27,647","28,120","30,361","30,682","31,000"
260,"50,063","60,596","37,502","26,480","36,822","31,790","28,512","27,818","39,441","34,110","32,118","33,563","60,243","57,135","27,312","28,800","27,351","30,465","26,880","34,467","33,135","32,284","34,845","28,547","57,616","41,537","32,080","27,610","25,731","27,476","27,394","31,871","30,861","28,147","29,155","37,624","41,773","35,216","27,661","26,131","24,498","24,696","26,498","25,547","25,988","36,335","31,063","27,810","41,902","25,537","26,273","25,298","25,563","25,418","24,920","25,324","25,143","27,437","28,445","31,512","48,149","32,535","28,276","25,633","26,380","25,394","26,149","26,220","26,398","26,759","26,406","26,318","32,231","33,586","32,553","28,931","27,090","28,192","26,075","26,700","27,443","28,769","27,214","27,739","31,502","31,904","29,133","30,204","28,647","29,875","27,394","27,510","27,963","29,863","30,365","30,827"
280,"51,625","59,990","37,439","26,412","32,776","31,406","28,512","27,769","39,414","33,945","31,929","33,665","61,257","58,708","27,033","29,120","27,514","29,800","26,933","34,090","32,994","31,257","34,776","28,378","58,869","41,192","32,361","27,310","25,522","27,225","27,306","31,427","30,643","27,976","29,580","37,504","41,469","34,333","27,814","25,982","24,453","24,755","26,412","25,531","25,949","36,112","30,984","27,731","42,996","25,333","26,022","25,271","25,478","25,420","24,571","25,206","25,051","27,333","28,400","31,367","51,198","32,431","28,108","25,584","26,296","25,449","25,961","26,155","26,225","26,676","26,233","26,143","32,051","33,820","31,782","28,608","26,835","27,839","26,000","26,465","27,363","28,696","27,122","27,524","31,461","31,724","28,933","30,071","28,712","29,798","27,263","27,484","27,982","29,853","30,478","30,694"
300,"52,702","60,525","36,414","26,363","32,698","31,225","28,422","27,775","39,108","33,463","31,753","33,388","62,986","60,786","26,657","29,343","27,308","29,516","26,822","33,990","32,531","31,075","34,208","28,261","60,678","40,645","31,412","27,078","25,543","27,016","26,884","31,231","30,296","27,824","30,210","37,243","40,729","33,610","27,598","25,906","24,341","24,488","26,306","25,445","25,837","35,867","30,763","27,567","42,363","25,212","25,931","25,149","25,257","25,282","24,610","25,033","25,037","27,080","28,239","30,998","53,933","31,929","27,747","25,351","26,178","25,318","25,720","25,961","25,949","26,620","26,033","26,035","31,710","33,151","31,280","28,369","26,704","27,633","25,994","26,465","27,294","28,518","26,976","27,455","31,314","31,337","28,490","29,671","28,492","29,559","27,224","27,361","27,716","29,725","30,102","30,463"
320,"54,275","62,976","35,925","26,425","32,763","31,335","28,576","27,965","38,920","33,206","31,847","33,302","65,080","62,937","26,710","29,451","27,331","29,590","27,110","34,204","32,720","31,022","34,327","28,412","62,641","40,125","31,551","27,133","25,486","27,245","26,955","28,518","30,376","27,806","31,112","37,220","40,312","33,280","27,686","25,855","24,537","24,692","26,490","25,690","25,975","35,751","30,953","27,922","42,455","25,296","25,949","25,333","25,420","25,518","24,776","25,237","25,114","27,210","28,467","31,169","56,457","31,590","27,816","25,565","26,325","25,455","25,816","26,086","26,063","26,700","26,131","26,149","31,575","33,012","31,047","28,320","26,755","27,851","26,069","26,625","27,520","28,673","27,112","27,547","31,620","31,214","28,525","29,741","28,655","29,975","27,359","27,527","28,004","29,741","30,267","30,594"
340,"54,390","62,376","35,406","26,361","32,378","30,876","28,459","27,778","38,253","32,839","31,635","33,084","64,227","62,478","26,359","29,092","27,002","29,184","26,741","33,641","32,322","30,625","33,914","28,273","60,655","39,033","31,108","26,886","25,275","26,937","26,651","28,092","30,082","27,571","31,190","36,525","39,488","32,475","27,276","25,702","24,310","24,427","26,171","25,486","25,712","35,006","30,810","27,657","41,198","24,769","25,804","25,129","25,247","25,167","24,306","25,082","24,916","27,184","28,198","30,759","55,759","30,925","27,704","25,312","26,088","25,335","25,678","25,835","25,841","26,588","25,886","25,988","31,278","32,484","30,741","27,988","26,645","27,467","25,810","26,408","27,508","28,422","26,831","27,484","31,369","30,951","28,227","29,190","28,573","29,590","27,296","27,392","27,810","29,533","30,061","30,339"
360,"55,133","64,259","35,555","26,490","32,512","30,924","28,625","27,912","37,833","32,704","31,688","33,469","65,796","63,920","26,247","29,186","27,000","29,280","26,745","33,602","32,461","30,627","33,690","28,231","60,796","38,222","31,127","26,780","25,188","26,918","26,829","28,239","30,284","27,527","32,225","36,239","39,184","31,888","27,167","25,729","24,322","24,551","26,349","25,541","25,706","34,586","30,669","27,637","40,247","24,855","25,780","25,339","25,286","25,343","24,484","25,098","25,080","27,139","28,363","30,796","56,251","30,618","27,633","25,349","26,184","25,312","25,624","25,869","25,896","26,675","25,994","26,080","31,037","31,814","30,700","27,906","26,678","27,739","25,786","26,378","27,643","28,500","27,010","27,531","31,455","30,884","28,186","29,318","28,524","29,602","27,351","27,543","27,690","29,467","30,200","30,314"
380,"55,312","66,169","35,061","26,445","32,261","30,737","28,569","27,920","37,504","32,398","31,573","33,022","66,002","64,853","26,343","29,125","26,937","28,873","26,720","33,559","32,231","30,306","33,429","28,216","59,876","37,447","30,886","26,769","25,222","26,902","26,645","28,016","29,986","27,402","32,578","36,035","38,545","31,316","27,204","25,714","24,404","24,508","26,324","25,429","25,790","34,231","30,665","27,629","39,480","24,739","25,933","25,237","25,347","25,306","24,520","25,094","25,071","26,961","28,324","30,682","56,622","30,296","27,600","25,365","26,216","25,318","25,575","25,820","25,888","26,731","26,039","26,080","31,012","31,233","30,459","27,680","26,745","27,747","25,904","26,518","27,757","28,502","26,933","27,443","31,400","30,771","28,214","29,133","28,463","29,602","27,384","27,567","27,778","29,508","30,184","30,316"
