File_Type,GValue
File_Version,1
GP,
MTP_Type,96Wells_Square
MTP_Wells_X,12
MTP_Wells_Y,8
Timestamp,20210223_150133
MTP,9
Plate-ID,

Time (min),A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
200,"30,545","33,300","34,396","33,433","65,239","59,686","40,778","52,180","31,647","58,359","33,529","39,912","30,284","27,198","25,673","39,367","43,906","27,424","75,120","56,812","30,851","29,012","33,651","41,402","29,259","29,027","37,010","27,020","31,322","29,149","26,712","30,229","28,325","30,082","31,849","27,502","26,708","25,949","25,082","31,131","28,918","25,004","26,033","42,643","28,927","27,992","26,639","25,922","25,469","26,180","29,237","26,896","32,000","28,231","33,965","27,539","26,514","29,400","26,294","48,147","29,529","27,369","25,792","33,333","33,476","35,559","30,635","29,255","36,188","35,949","55,316","27,380","30,908","30,131","28,412","29,233","34,100","30,239","30,847","31,069","34,298","27,818","67,622","40,618","30,949","29,963","29,763","30,725","32,743","32,186","57,486","54,135","32,204","29,294","37,775","33,310"
220,"31,225","34,447","35,243","33,855","68,741","63,671","42,745","55,876","32,035","62,149","34,359","41,651","30,965","27,967","25,953","42,033","47,051","28,163","74,980","61,284","31,775","29,551","34,920","43,569","29,761","29,751","39,198","27,410","33,008","30,488","27,067","31,414","28,833","30,867","32,627","28,178","27,163","26,247","25,276","32,941","30,051","25,231","26,378","45,967","29,588","28,649","27,308","25,965","25,712","26,843","29,935","27,447","33,696","28,865","35,512","27,851","26,669","30,061","26,716","51,863","30,625","28,459","26,155","35,210","35,018","37,667","32,133","30,500","37,627","37,857","58,643","27,804","31,827","30,600","29,165","29,986","35,706","31,210","31,561","31,824","36,243","28,457","70,200","42,745","31,365","30,204","30,351","30,810","33,192","32,920","61,608","57,329","33,225","29,614","39,537","33,937"
240,"32,120","35,678","36,057","33,859","70,563","66,588","44,731","58,161","32,410","64,288","34,982","42,912","31,898","28,129","26,151","44,110","50,522","28,502","76,273","63,808","32,516","30,100","35,641","45,286","30,729","30,269","41,424","27,706","34,298","31,604","27,198","32,325","28,986","31,418","33,873","28,520","28,024","26,561","25,461","34,431","31,476","26,139","26,669","49,027","30,271","28,888","27,571","25,829","26,020","27,294","30,580","27,918","35,171","29,384","36,680","28,486","26,990","30,584","27,159","54,641","31,686","29,345","26,486","36,971","36,143","39,484","32,716","31,690","38,520","39,778","60,143","28,363","32,684","31,314","29,659","30,592","37,414","32,118","32,508","32,529","37,100","29,237","70,549","44,722","31,586","30,737","30,465","30,775","33,553","33,386","64,696","59,508","33,924","29,824","41,396","34,480"
260,"32,829","36,329","36,663","34,320","72,251","68,059","46,886","60,218","32,700","64,543","35,649","43,841","32,843","29,318","26,643","46,916","54,182","28,941","78,178","64,555","33,543","30,790","36,404","47,069","31,394","31,235","44,002","28,147","35,878","32,420","27,429","33,422","29,222","32,178","34,629","29,016","28,608","27,233","25,761","35,996","32,682","25,929","26,914","52,294","31,037","29,267","27,925","26,067","26,229","27,953","31,680","28,618","36,718","29,961","37,729","28,896","27,627","31,216","27,431","56,069","32,553","30,620","26,820","39,049","37,800","41,686","34,018","32,655","39,769","41,351","60,504","28,553","33,463","31,978","30,157","31,520","38,855","32,912","33,533","33,584","38,253","29,733","71,614","46,084","32,165","31,120","30,880","31,184","33,892","34,163","65,671","60,292","34,933","30,102","43,188","34,876"
280,"32,178","36,296","36,343","34,455","71,998","68,588","47,365","59,335","32,855","63,506","35,722","44,175","32,818","29,663","26,769","48,304","55,106","29,208","78,167","64,053","33,267","30,843","36,392","47,661","31,710","31,629","44,957","28,063","37,114","32,378","27,500","33,571","29,271","32,435","34,580","29,110","28,910","27,541","25,771","36,727","33,316","26,024","26,980","53,306","31,390","29,396","27,863","25,949","26,565","28,206","31,947","29,037","37,375","29,916","38,373","29,082","27,486","31,412","27,504","55,900","33,075","31,331","27,020","40,406","38,304","42,849","34,351","33,180","40,373","41,622","59,127","28,682","33,959","32,224","30,525","32,363","39,833","33,439","33,498","33,990","39,310","29,729","70,765","46,335","32,002","31,275","30,955","31,224","34,025","34,365","64,737","59,700","35,145","30,127","43,841","34,825"
300,"32,363","37,163","36,733","34,757","72,280","68,935","48,065","59,018","32,902","63,708","35,863","44,749","33,122","29,978","26,992","50,288","56,524","29,208","78,922","64,816","33,863","31,339","36,727","48,120","32,041","31,845","46,016","28,216","37,814","32,812","27,608","33,808","29,367","32,547","34,841","29,080","29,365","27,904","26,098","37,543","34,014","26,224","27,057","54,153","31,951","29,418","27,998","26,031","26,559","28,600","32,300","29,253","38,475","29,886","38,984","29,392","27,920","31,612","27,888","56,073","33,384","32,227","27,282","41,571","39,006","44,010","34,776","33,484","40,914","42,604","58,820","28,751","34,786","32,598","30,733","32,359","40,749","33,861","33,957","34,545","39,978","30,071","70,741","46,222","32,327","31,390","31,018","31,347","34,202","34,310","65,245","59,939","35,406","30,292","44,669","35,041"
320,"32,533","36,920","36,871","34,718","71,692","68,663","47,806","58,669","32,996","63,343","35,827","44,710","33,231","30,255","26,894","51,218","55,553","29,312","78,447","64,876","33,765","31,037","36,675","48,080","31,900","32,094","45,863","28,190","38,376","32,878","27,518","34,006","29,206","32,694","34,945","29,137","29,384","27,945","26,112","37,839","34,218","26,343","27,008","54,367","31,906","29,310","27,945","25,949","26,761","28,673","32,145","29,249","38,914","29,971","39,443","29,580","27,941","31,555","27,682","54,747","33,214","32,553","27,108","42,565","38,922","44,020","35,051","33,735","41,241","42,914","58,006","28,900","34,967","32,575","30,651","32,598","41,076","33,831","33,780","34,700","40,402","30,116","69,669","45,671","32,375","31,445","30,931","31,382","33,888","34,290","65,141","59,629","35,708","30,147","44,918","34,867"
340,"33,049","36,955","36,618","34,837","71,314","68,514","47,800","57,822","32,916","62,988","35,788","44,545","33,557","30,245","26,994","50,863","55,212","29,231","78,676","64,529","33,706","31,092","36,724","47,969","32,265","32,402","45,416","28,196","38,424","33,065","27,573","33,904","29,161","32,518","35,137","29,267","29,335","28,108","26,167","37,867","34,371","26,192","27,104","54,084","32,104","29,147","27,959","25,965","26,857","28,573","32,061","29,120","39,049","29,875","39,355","29,702","27,967","31,412","27,955","54,496","32,920","32,675","27,143","42,394","39,045","43,680","35,229","33,680","41,084","42,929","57,461","28,994","35,069","32,612","30,600","32,659","41,082","33,965","33,882","34,598","40,361","30,194","68,951","45,294","32,888","31,624","31,000","31,325","33,939","34,265","64,737","59,210","35,553","30,324","44,712","34,833"
360,"33,059","37,086","36,510","34,520","70,790","67,627","47,104","56,971","32,747","62,665","35,294","44,225","33,475","30,422","26,927","49,231","53,690","29,222","78,875","64,027","33,355","30,851","36,441","47,188","32,045","32,292","44,573","28,057","38,202","32,855","27,392","33,465","28,884","32,129","34,920","29,131","29,210","28,002","26,035","37,639","34,343","26,051","27,253","53,255","32,067","29,173","27,696","26,065","26,610","28,625","31,855","28,835","39,063","29,900","39,341","29,622","27,739","31,178","27,902","53,920","32,600","32,573","27,163","42,071","38,906","43,088","35,196","33,643","40,916","42,847","56,884","29,039","35,169","32,590","30,098","32,453","40,763","33,557","34,075","34,549","40,371","29,988","68,114","44,724","32,475","31,408","30,857","31,131","33,953","33,894","63,875","58,657","35,237","30,051","44,439","34,865"
380,"32,624","36,647","36,559","34,318","70,659","67,471","46,965","56,875","32,767","62,355","35,378","43,924","33,322","30,414","26,853","48,549","53,529","29,125","80,116","63,800","33,245","30,873","36,659","47,176","32,129","32,131","43,955","28,049","38,149","32,814","27,182","33,518","28,861","32,155","34,792","28,982","29,294","28,069","26,094","37,539","34,596","25,929","27,192","53,347","32,114","29,098","27,757","25,943","26,620","28,671","31,782","28,612","38,851","29,812","39,286","29,700","27,990","31,304","27,773","54,037","32,343","32,959","27,088","41,906","38,441","42,602","34,878","33,661","40,531","43,098","56,608","29,084","35,504","32,716","30,165","32,514","40,651","33,529","33,710","34,365","40,327","29,973","67,955","44,718","32,612","31,563","30,604","31,190","33,857","33,775","63,802","58,453","35,341","29,980","44,416","34,688"
