File_Type,GValue
File_Version,1
GP,

MTP_Type,96Wells_Square
MTP_Wells_X,12
MTP_Wells_Y,8
Timestamp,20210120_101852
MTP,1
Plate-ID,

Time (min),A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
201,"47,422","56,190","39,800","41,455","30,333","28,916","30,925","31,131","31,235","31,237","30,480","30,565","49,333","45,318","26,451","25,931","26,704","25,637","25,912","25,731","26,892","27,518","27,210","26,916","50,767","42,596","26,073","26,124","24,704","24,775","24,008","24,992","25,002","27,955","26,678","26,912","41,088","34,449","26,833","24,708","24,271","24,449","23,894","24,702","24,720","26,218","25,424","25,476","41,704","24,553","26,357","25,169","24,855","24,759","24,359","25,190","24,945","25,784","25,233","26,671","37,361","28,080","25,794","24,733","24,612","24,341","24,392","25,386","26,178","25,741","26,039","26,502","32,390","27,533","27,975","28,482","26,386","26,778","26,339","27,208","27,747","27,625","28,120","28,392","27,676","30,114","28,673","31,351","29,437","29,631","28,186","28,880","28,867","31,010","29,998","34,273"
221,"51,578","58,788","43,486","45,008","32,314","30,073","33,443","32,890","33,394","33,169","32,024","31,614","55,814","50,010","27,392","26,747","28,210","26,325","26,639","25,931","27,151","28,335","27,973","27,635","55,488","47,163","26,453","27,124","25,314","25,004","24,037","25,361","25,055","29,539","27,224","27,078","45,322","37,998","27,420","24,802","24,437","24,590","23,904","24,818","24,778","26,702","25,665","25,608","46,133","25,410","27,349","25,945","25,329","25,329","24,565","25,404","25,137","26,284","25,329","27,335","42,839","30,447","26,006","24,927","24,659","24,367","24,371","25,576","27,027","25,680","26,084","26,602","35,351","28,512","29,076","30,424","27,016","27,592","26,635","28,018","28,455","27,976","28,704","29,204","27,675","31,863","30,222","34,514","30,114","30,629","28,210","28,827","29,610","32,288","30,845","37,094"
241,"57,073","63,988","46,461","49,565","35,216","31,739","37,582","35,622","35,922","36,465","34,300","33,061","58,365","54,704","28,441","27,896","30,122","27,253","27,763","26,033","27,508","29,280","28,804","28,398","57,735","52,345","27,006","28,047","25,800","25,327","24,141","25,643","25,073","32,057","27,820","27,451","49,849","41,253","28,149","24,951","24,667","24,745","23,902","24,963","25,051","27,880","25,833","25,722","50,002","26,343","28,561","26,849","26,084","26,049","24,851","25,824","25,227","26,718","25,373","28,200","46,353","34,165","26,180","25,073","24,845","24,488","24,414","25,622","28,610","25,614","26,335","27,008","39,433","29,982","30,710","33,010","27,449","28,735","27,159","29,331","29,637","28,210","29,671","30,325","27,516","34,451","32,394","38,671","31,188","32,016","28,165","28,690","30,837","34,139","32,218","41,478"
261,"59,771","68,222","50,292","53,173","40,563","32,894","42,271","39,151","40,535","41,749","37,761","34,976","64,729","58,112","29,351","29,967","33,384","29,002","29,959","26,451","28,059","30,790","30,153","29,686","62,837","54,947","28,294","29,745","26,908","25,837","24,412","26,420","25,239","35,420","28,692","28,006","52,898","45,808","29,467","25,414","25,125","25,118","24,071","25,365","25,541","29,696","26,143","26,073","54,761","27,812","30,800","28,682","27,367","27,363","25,661","26,557","25,708","27,802","25,761","29,778","51,576","39,027","26,776","25,478","25,033","24,843","24,667","26,175","31,002","25,816","26,816","27,743","43,010","32,425","33,365","36,553","28,451","30,778","27,927","31,396","31,588","28,941","31,376","32,143","27,586","37,857","36,169","42,157","33,016","33,720","28,176","28,424","32,663","37,067","34,710","46,029"
281,"64,208","70,227","52,531","56,341","44,139","33,202","44,304","41,253","43,614","44,929","40,390","37,375","68,675","62,961","29,971","32,755","36,837","31,037","32,908","26,929","28,947","32,676","31,808","31,557","65,243","60,278","29,804","31,688","28,094","26,539","24,867","27,480","25,496","37,410","29,935","29,133","56,884","48,461","31,310","25,729","25,808","25,280","24,355","25,894","26,204","32,612","26,476","26,637","56,912","29,673","33,151","30,898","28,902","29,233","26,755","27,712","26,086","29,590","26,245","32,153","56,435","40,702","27,237","26,192","25,496","25,247","24,827","26,761","34,147","25,961","27,345","28,453","46,773","35,167","37,541","40,253","29,606","33,275","28,786","34,018","34,247","29,588","34,529","33,678","27,755","40,265","40,612","44,965","35,212","35,747","28,241","28,445","35,241","39,633","37,361","47,429"
"301,25","69,029","72,871","54,961","60,435","46,176","34,424","47,247","42,733","46,329","46,663","42,122","39,343","71,320","66,047","30,118","36,780","39,280","33,886","37,067","27,141","29,696","35,684","33,516","33,388","67,676","63,867","31,894","34,802","29,784","27,129","25,122","28,553","25,749","39,806","31,161","30,492","61,078","51,943","34,014","26,178","26,649","25,480","24,496","26,527","27,343","36,408","26,824","27,378","61,963","31,157","36,633","34,655","30,976","31,408","28,039","29,643","26,496","31,802","26,775","35,351","59,476","42,684","28,008","26,796","25,755","26,053","25,075","27,476","36,457","26,055","27,859","29,625","50,937","38,900","41,125","40,984","30,975","36,773","30,482","36,163","38,420","30,633","39,253","35,059","27,649","43,202","43,104","48,253","38,398","38,520","28,239","28,390","38,588","41,333","40,200","52,292"
321,"72,975","76,155","58,612","62,582","50,482","35,349","50,639","45,075","49,908","50,863","44,861","41,263","74,910","69,035","30,253","41,894","40,867","37,749","38,910","27,741","30,816","36,271","34,835","36,724","70,592","65,324","33,518","35,582","31,155","27,665","25,580","29,733","25,759","42,494","32,961","32,918","63,227","54,990","36,475","26,543","27,082","25,504","24,594","27,349","28,982","39,527","27,308","28,545","64,145","33,149","37,410","35,347","33,673","34,688","29,539","32,527","27,108","34,918","27,455","39,098","61,141","45,947","28,825","27,453","26,067","26,839","25,265","28,204","38,451","25,967","28,288","30,949","53,557","42,435","42,722","44,080","32,253","38,710","32,288","37,398","40,671","31,586","43,861","36,457","27,555","45,171","44,820","50,043","39,702","39,829","28,133","28,116","39,633","41,490","41,892","53,508"
341,"76,531","80,282","59,169","65,024","53,035","36,702","51,675","47,378","53,096","53,231","47,935","42,718","78,918","72,761","30,490","46,725","44,647","39,594","40,424","28,208","32,249","37,594","36,518","37,673","73,659","67,388","35,443","35,894","33,192","28,618","26,027","31,288","25,992","45,629","35,335","35,688","66,071","55,990","37,957","27,188","28,008","25,504","24,898","28,355","31,004","42,116","27,686","30,141","66,292","35,194","38,176","36,365","34,696","36,057","31,273","35,818","27,669","36,782","28,522","40,663","65,194","48,527","29,937","28,302","26,616","27,651","25,329","29,231","40,457","26,124","29,043","33,124","57,049","46,078","45,959","47,400","34,302","39,680","35,647","38,586","42,720","32,784","46,571","36,816","27,453","48,263","48,300","52,198","40,816","40,555","28,116","28,051","41,663","43,518","43,410","58,186"
"361,25","79,625","83,741","58,565","67,484","53,704","38,582","53,216","47,225","53,986","54,341","48,839","44,325","81,998","76,143","30,371","52,200","47,355","42,731","42,598","28,516","34,239","38,737","36,747","38,378","76,078","68,780","36,686","37,335","34,004","29,233","26,373","32,955","26,125","45,875","37,675","38,088","68,080","56,180","39,357","27,576","28,645","25,614","25,018","29,578","33,575","47,039","27,935","32,043","68,216","38,265","40,469","38,461","35,116","36,112","32,182","36,329","28,253","37,678","29,584","43,851","67,696","48,204","30,914","29,020","26,902","28,788","25,612","30,255","43,269","26,124","29,667","35,278","59,829","49,208","48,537","47,125","34,790","41,878","36,010","40,202","45,839","34,247","51,957","38,022","27,467","48,222","50,192","54,686","43,231","41,957","28,100","28,008","43,914","45,431","46,063","62,147"
381,"85,227","87,902","60,655","71,875","57,935","41,290","56,973","49,906","58,547","58,222","51,176","47,076","85,747","81,808","31,006","59,520","48,200","45,961","45,047","29,504","35,420","40,941","39,047","40,771","81,086","72,647","37,145","39,141","34,557","30,618","27,173","33,686","26,563","49,508","41,443","40,561","72,624","58,039","41,700","28,529","29,890","25,998","25,459","31,149","37,247","52,380","28,884","35,361","72,255","42,937","43,118","41,367","37,082","38,792","33,663","37,861","29,324","39,525","31,482","48,716","72,190","52,353","32,329","30,461","27,637","30,471","25,937","31,859","46,794","26,325","30,857","37,308","61,582","53,055","48,565","51,708","35,490","44,788","37,214","42,618","49,290","35,051","54,810","39,861","27,467","51,718","52,082","55,892","46,463","44,639","28,271","28,192","47,465","47,055","49,112","64,325"
