File_Type,GValue
File_Version,1
GP,

MTP_Type,96Wells_Square
MTP_Wells_X,12
MTP_Wells_Y,8
Timestamp,20210128_121107
MTP,1
Plate-ID,

Time (min),A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
200,"45,680","58,845","34,590","34,984","36,369","29,743","42,437","35,308","36,696","34,651","31,382","31,814","53,680","44,418","28,700","28,992","31,292","31,635","28,839","30,055","38,755","32,696","34,520","39,935","50,127","35,029","26,931","27,684","24,602","24,618","25,873","26,416","26,720","31,798","28,090","37,745","39,459","28,910","28,771","26,024","23,773","26,508","23,702","25,457","25,286","26,755","34,055","29,755","30,145","24,649","26,798","25,422","25,031","24,755","25,051","24,578","24,988","25,759","28,251","30,475","32,155","28,798","27,643","25,353","25,002","25,325","26,045","25,327","27,286","26,594","28,622","27,002","33,502","41,561","33,522","30,675","28,751","27,686","27,086","27,247","29,055","29,790","30,294","34,210","30,216","31,622","32,157","31,033","30,008","30,822","29,939","30,976","28,502","32,371","30,712","38,594"
220,"51,014","67,943","39,449","40,482","37,612","31,212","44,090","37,388","39,041","38,965","34,235","35,206","63,751","49,935","30,065","30,024","32,916","33,780","30,588","31,410","40,843","34,629","36,849","40,216","58,261","40,614","27,633","29,916","25,267","25,116","26,812","26,769","26,971","33,843","29,022","38,357","45,063","32,167","29,996","26,598","24,324","27,088","23,967","25,704","25,680","27,518","34,384","30,537","34,176","25,410","27,790","26,288","25,959","25,661","25,488","24,904","25,398","26,351","28,192","30,451","36,025","31,247","29,265","25,861","25,427","26,073","27,025","25,816","29,512","26,937","29,620","27,990","37,124","42,708","35,537","33,771","29,951","29,163","27,945","28,839","30,341","31,114","30,961","35,171","30,539","34,808","34,382","34,559","31,182","33,620","30,947","33,375","29,392","35,614","32,488","44,561"
240,"58,110","76,000","45,696","44,884","38,959","33,547","46,431","40,180","41,982","44,841","38,512","40,578","70,820","56,078","32,043","31,247","34,559","36,902","33,269","32,400","40,286","38,504","39,622","41,749","65,482","46,190","28,404","33,573","26,178","25,614","28,161","27,447","27,175","37,284","30,357","39,175","49,945","37,365","31,596","27,302","24,788","28,098","24,137","25,916","25,953","28,627","35,159","31,598","40,151","26,502","29,312","27,506","27,435","26,686","26,024","25,275","26,047","26,973","28,337","31,165","41,584","34,908","31,237","26,590","25,680","27,084","28,290","26,176","32,918","27,069","31,312","29,204","43,194","44,039","37,720","38,522","31,927","31,349","29,010","31,188","32,075","33,106","31,637","37,135","30,237","39,418","37,725","39,920","32,888","37,912","32,127","35,618","30,610","40,131","35,143","50,994"
260,"67,945","83,888","50,543","51,384","42,161","37,341","50,782","44,961","47,229","49,678","44,751","46,865","79,704","64,784","35,522","33,525","37,631","41,188","37,406","34,571","44,378","43,700","44,225","44,078","73,600","53,243","30,269","39,525","27,720","26,796","30,680","28,686","27,710","42,694","32,318","40,584","56,231","42,524","34,518","28,598","25,871","29,294","24,724","26,439","26,645","30,329","36,318","33,920","45,761","28,251","31,873","30,273","29,788","28,606","27,076","26,012","27,090","28,482","28,843","32,712","46,812","41,029","34,955","27,925","26,498","28,884","30,663","26,975","38,304","27,631","33,929","31,437","48,971","46,512","41,106","44,594","34,961","34,784","31,155","34,951","35,222","36,429","33,218","40,569","30,416","45,412","42,796","45,724","36,059","44,253","34,051","39,222","32,686","45,818","38,965","57,776"
280,"74,075","91,029","57,651","60,202","47,206","42,929","54,173","49,645","51,649","56,690","50,024","52,741","87,976","71,078","40,949","36,580","41,606","47,978","43,437","37,678","47,433","49,282","48,798","48,169","81,816","62,096","32,657","45,000","30,314","28,524","34,400","30,620","28,673","47,392","35,100","43,073","64,620","48,806","38,373","30,675","27,665","31,602","25,412","27,365","27,586","33,167","38,171","37,251","52,996","30,539","35,541","34,316","33,982","31,610","28,735","27,163","29,069","30,941","29,475","34,557","53,500","46,724","40,390","29,947","27,520","31,473","34,182","28,459","43,829","28,408","38,375","35,300","56,414","49,271","46,667","50,508","39,961","40,692","34,714","40,157","40,039","41,414","35,573","44,982","30,180","52,065","48,053","52,898","40,700","50,147","36,984","42,349","35,708","52,210","44,067","67,649"
300,"81,322","96,618","66,788","66,284","50,984","48,190","59,616","55,451","57,184","65,873","59,057","62,843","95,851","78,702","46,265","41,012","47,137","53,757","48,865","42,818","51,604","55,645","54,798","51,435","90,725","69,467","36,743","51,865","34,533","31,302","39,990","33,763","30,325","53,914","39,404","47,525","71,247","57,863","44,582","34,361","30,551","35,792","26,904","28,929","29,390","37,490","41,357","42,759","62,724","33,294","42,380","40,739","40,508","37,188","31,543","28,990","32,416","35,133","30,814","37,937","62,592","53,943","46,337","33,743","29,392","36,141","39,712","30,765","51,065","29,698","44,112","41,122","65,371","52,718","51,251","59,839","45,769","46,706","40,300","45,806","46,167","47,500","39,892","50,190","30,139","60,827","54,525","61,443","44,935","58,739","40,825","45,310","40,655","60,739","49,575","74,296"
320,"89,141","100,610","75,239","74,273","57,308","53,906","67,078","63,520","64,706","72,418","67,251","70,149","102,908","86,406","53,857","46,522","52,253","61,814","56,012","48,522","56,194","64,869","64,229","55,145","98,198","76,690","42,878","61,425","41,441","35,716","46,278","38,925","32,867","62,859","44,573","52,127","79,386","65,690","49,249","39,702","35,555","42,782","29,069","31,308","32,296","42,800","46,449","47,724","69,951","36,231","47,784","46,676","46,692","43,037","35,882","32,676","37,635","41,214","32,802","42,698","71,478","62,980","53,337","39,790","32,325","42,859","46,157","34,976","60,159","31,910","50,171","46,776","73,892","57,129","58,076","67,286","52,702","53,500","45,727","53,563","53,108","54,269","46,016","56,398","30,145","68,063","63,300","69,057","51,035","66,645","45,039","50,210","46,255","67,806","57,616","84,647"
340,"97,339","101,637","83,002","81,425","66,700","61,202","74,155","70,724","71,939","78,065","75,569","78,425","108,520","92,922","64,057","51,457","59,886","68,986","64,980","54,982","63,549","71,288","71,147","62,284","105,141","83,859","49,078","68,545","47,147","42,951","53,373","45,076","37,298","70,373","50,125","57,571","86,753","73,108","55,514","45,902","41,910","48,333","32,520","35,592","36,745","48,229","51,004","54,857","78,671","40,324","55,257","54,422","54,175","50,088","41,939","38,853","43,986","47,078","36,331","48,137","78,039","69,920","62,945","45,129","37,376","48,171","53,392","41,478","67,298","35,108","59,429","53,849","81,508","64,422","66,894","75,988","62,100","62,398","52,280","63,100","63,022","63,141","50,514","63,641","30,004","77,227","69,376","77,747","58,018","75,771","47,482","54,253","52,737","76,290","64,296","93,325"
360,"104,227","99,878","89,910","88,763","73,655","69,051","82,335","78,788","79,159","82,865","83,861","86,880","112,816","98,906","72,551","58,712","66,737","77,504","72,322","63,708","69,696","77,835","79,514","67,655","110,147","90,516","56,612","75,737","54,702","48,961","62,727","52,053","43,608","76,851","56,724","64,573","94,582","79,827","64,245","52,833","48,947","56,561","37,878","42,151","43,127","57,194","58,075","64,671","86,590","44,978","64,702","63,376","63,490","58,916","47,953","44,237","51,467","54,529","42,086","54,561","84,829","77,037","70,037","52,078","43,914","56,233","63,151","47,639","75,065","40,255","67,041","63,461","89,180","70,473","73,310","83,231","70,106","68,396","61,647","70,437","69,908","71,035","58,835","71,373","30,204","85,357","78,037","85,486","66,524","83,461","52,537","60,298","61,755","83,618","72,755","102,969"
380,"107,812","99,284","96,504","94,984","81,435","73,190","88,484","86,731","86,349","87,176","90,765","95,014","115,206","102,733","80,486","66,422","76,225","86,596","80,637","70,512","77,029","85,210","86,857","74,402","112,551","96,141","65,437","81,751","64,408","58,839","70,357","60,743","49,784","83,361","65,841","71,735","101,029","85,678","70,953","62,398","58,006","63,984","44,110","47,378","48,839","65,629","64,818","70,741","93,514","53,165","72,792","72,067","71,218","65,537","55,422","50,841","61,178","64,282","47,037","63,965","90,649","81,759","78,459","61,761","50,916","65,541","70,345","55,002","81,233","45,565","76,392","69,996","96,125","71,488","81,467","90,061","79,231","75,737","68,349","77,445","79,122","78,357","66,612","79,280","30,112","92,878","86,169","93,100","74,900","91,024","56,812","64,812","69,198","90,608","80,159","110,643"
